timestamp,value
0.00,10434
0.00,9906
0.00,9266
0.00,9410
0.00,9906
0.00,10802
0.00,12210
0.00,13475
0.00,14067
0.00,14419
0.00,14787
0.00,14611
0.00,14707
0.00,14563
0.00,14579
0.00,14611
0.00,14691
0.00,14691
0.00,14659
0.00,14707
0.00,14739
0.00,14787
0.00,14675
0.00,14675
0.00,14739
0.00,14851
0.00,14787
0.00,14771
0.00,14787
0.00,14723
0.00,14659
0.00,14755
0.00,14611
0.00,14627
0.00,14579
0.00,14563
0.00,14435
0.00,14467
0.00,14499
0.00,14531
0.00,14435
0.00,14355
0.00,14499
0.00,14467
0.00,14339
0.00,14403
0.00,14371
0.00,14403
0.00,14467
0.00,14403
0.00,14675
0.00,14611
0.00,14595
0.00,14659
0.00,14579
0.00,14643
0.00,14515
0.00,14643
0.00,14547
0.00,14659
0.00,14643
0.00,14531
0.00,14515
0.00,14563
0.00,14403
0.00,14547
0.00,14579
0.00,14595
0.00,14723
0.00,14563
0.00,14531
0.00,14515
0.00,14531
0.00,14483
0.00,14547
0.00,14595
0.00,14675
0.00,14611
0.00,14611
0.00,14547
0.00,14019
0.00,11042
0.00,6401
0.00,5937
0.00,5777
0.00,5681
0.00,5681
0.00,14627
0.00,5537
0.00,5729
0.00,13731
0.00,13715
0.00,13651
0.00,13667
0.00,13507
0.00,13715
0.00,13667
0.00,13795
0.00,13779
0.00,13763
0.00,13747
0.00,13715
0.00,13699
0.00,13779
0.00,13747
0.00,13795
0.00,13843
0.00,13795
0.00,13987
0.00,14003
0.00,14211
0.00,14163
0.00,14211
0.00,14227
0.00,14051
0.00,14147
0.00,14163
0.00,14179
0.00,14179
0.00,14227
0.00,14179
0.00,14147
0.00,14051
0.00,14051
0.00,14035
0.00,14227
0.00,14083
0.00,13987
0.00,13971
0.00,13907
0.00,13971
0.00,14019
0.00,14051
0.00,14035
0.00,14019
0.00,14035
0.00,13987
0.00,14019
0.00,14003
0.00,14019
0.00,13955
0.00,13971
0.00,13971
0.00,13891
0.00,13891
0.00,13987
0.00,13923
0.00,13907
0.00,13971
0.00,13923
0.00,13971
0.00,13891
0.00,13923
0.00,13923
0.00,13971
0.00,14051
0.00,14019
0.00,14003
0.00,13987
0.00,13923
0.00,13955
0.00,13955
0.00,13987
0.00,13987
0.00,14035
0.00,14019
0.00,14003
0.00,13987
0.00,13971
0.00,13987
0.00,13971
0.00,14003
0.00,14019
0.00,14051
0.00,13955
0.00,14099
0.00,14083
0.00,14035
0.00,13971
0.00,14051
0.00,14051
0.00,14035
0.00,14083
0.00,14115
0.00,14099
0.00,14099
0.00,14115
0.00,14115
0.00,14099
0.00,14083
0.00,14035
0.00,14035
0.00,14003
0.00,14051
0.00,14035
0.00,14019
0.00,14035
0.00,14099
0.00,14083
0.00,14051
0.00,14083
0.00,14051
0.00,14083
0.00,14035
0.00,14051
0.00,14035
0.00,13955
0.00,14003
0.00,14019
0.00,14035
0.00,14051
0.00,14035
0.00,14035
0.00,13971
0.00,13987
0.00,13971
0.00,14019
0.00,14003
0.00,14003
0.00,13987
0.00,13987
0.00,13923
0.00,13955
0.00,13907
0.00,13907
0.00,13875
0.00,13939
0.00,13955
0.00,13939
0.00,13971
0.00,14003
0.00,13955
0.00,13971
0.00,13891
0.00,13859
0.00,13907
0.00,13859
0.00,13891
0.00,13859
0.00,13875
0.00,13875
0.00,13891
0.00,13907
0.00,13891
0.00,13907
0.00,13891
0.00,13827
0.00,13827
0.00,13827
0.00,13811
0.00,13859
0.00,13875
0.00,13843
0.00,13875
0.00,13875
0.00,13891
0.00,13891
0.00,13859
0.00,13923
0.00,13859
0.00,13859
0.00,13827
0.00,13875
0.00,13907
0.00,13859
0.00,13891
0.00,13939
0.00,13923
0.00,13907
0.00,13827
0.00,13827
0.00,13891
0.00,13843
0.00,13891
0.00,13875
0.00,13875
0.00,13875
0.00,13843
0.00,13779
0.00,13779
0.00,13747
0.00,13779
0.00,13763
0.00,13731
0.00,13731
0.00,13859
0.00,13763
0.00,13779
