timestamp,value
0.00,18852
0.00,17636
0.00,17540
0.00,17476
0.00,17732
0.00,17316
0.00,17396
0.00,17572
0.00,17636
0.00,17300
0.00,8177
0.00,8097
0.00,8033
0.00,8081
0.00,8033
0.00,8033
0.00,8033
0.00,8033
0.00,8049
0.00,8017
0.00,8065
0.00,8033
0.00,8065
0.00,8001
0.00,8065
0.00,8145
0.00,8258
0.00,8049
0.00,8033
0.00,8033
0.00,18052
0.00,18148
0.00,17908
0.00,17988
0.00,17988
0.00,17844
0.00,17956
0.00,17748
0.00,17748
0.00,17748
0.00,17924
0.00,18068
0.00,17988
0.00,18148
0.00,18228
0.00,18020
0.00,18148
0.00,18084
0.00,18068
0.00,17844
0.00,16996
0.00,17204
0.00,17156
0.00,17316
0.00,17204
0.00,17348
0.00,17220
0.00,17204
0.00,17236
0.00,17300
0.00,17236
0.00,17300
0.00,17140
0.00,17220
0.00,17348
0.00,17220
0.00,17284
0.00,17380
0.00,17060
0.00,16948
0.00,15379
0.00,15299
0.00,15171
0.00,14947
0.00,14787
0.00,14595
0.00,14499
0.00,14243
0.00,14083
0.00,13891
0.00,13795
0.00,13651
0.00,13475
0.00,13379
0.00,13331
0.00,13203
0.00,13187
0.00,13219
0.00,13251
0.00,13219
0.00,12723
0.00,12787
0.00,12899
0.00,12931
0.00,12579
0.00,12899
0.00,13123
0.00,13251
0.00,13411
0.00,13427
0.00,13603
0.00,13747
0.00,13843
0.00,13875
0.00,14083
0.00,14531
0.00,14675
0.00,14787
0.00,14947
0.00,14979
0.00,15635
0.00,15651
0.00,15731
0.00,15747
0.00,15795
0.00,15843
0.00,15667
0.00,15715
0.00,15779
0.00,15907
0.00,15971
0.00,15859
0.00,15971
0.00,15571
0.00,14755
0.00,13123
0.00,12515
0.00,11762
0.00,11106
0.00,10546
0.00,10034
0.00,9442
0.00,9090
0.00,8786
0.00,8594
0.00,8402
0.00,8306
0.00,8242
0.00,8194
0.00,8177
0.00,8177
0.00,8177
0.00,8177
0.00,8177
0.00,8177
0.00,8177
0.00,8242
0.00,8370
0.00,8177
0.00,8466
0.00,8626
0.00,8834
0.00,9058
0.00,9282
0.00,9570
0.00,9858
0.00,10242
0.00,10674
0.00,11122
0.00,11778
0.00,12339
0.00,12947
0.00,13443
0.00,13907
0.00,14291
0.00,14547
0.00,14851
0.00,15123
0.00,15299
0.00,15491
0.00,15651
0.00,15683
0.00,15811
0.00,15827
0.00,15891
0.00,15907
0.00,15491
0.00,15859
0.00,15827
0.00,15843
0.00,15859
0.00,16019
0.00,16035
0.00,16051
0.00,16067
0.00,16003
0.00,16067
0.00,16003
0.00,16035
0.00,16019
0.00,16083
0.00,16099
0.00,16099
0.00,16195
0.00,16147
0.00,16211
0.00,16227
0.00,16275
0.00,16323
0.00,16339
0.00,16227
0.00,16323
0.00,16307
0.00,16307
0.00,16323
0.00,16339
0.00,16339
0.00,16404
0.00,16420
0.00,16452
0.00,16468
0.00,16371
0.00,16452
0.00,16436
0.00,16436
0.00,16452
0.00,16468
0.00,16516
0.00,16612
0.00,16644
0.00,16580
0.00,16612
0.00,16548
0.00,16564
0.00,16580
0.00,16676
0.00,16676
0.00,16644
0.00,16692
0.00,16564
0.00,16596
0.00,16564
0.00,16580
0.00,16580
0.00,16660
0.00,16564
0.00,16516
0.00,16564
0.00,16548
0.00,16660
0.00,16612
0.00,16692
0.00,16692
0.00,16692
0.00,16692
0.00,16644
0.00,16612
0.00,16724
0.00,16692
0.00,16708
0.00,16740
0.00,16740
0.00,16740
0.00,16660
0.00,16708
0.00,16740
0.00,16692
0.00,16692
0.00,16708
0.00,16820
0.00,16788
0.00,16804
0.00,16852
0.00,16900
0.00,16932
0.00,16980
0.00,16900
0.00,16948
0.00,16948
0.00,16964
0.00,16948
0.00,17012
0.00,17124
0.00,17172
0.00,17156
0.00,17140
0.00,17172
0.00,17124
0.00,17108
0.00,17124
0.00,17204
0.00,17188
0.00,17284
0.00,17252
0.00,17268
