timestamp,value
0.00,11042
0.00,10610
0.00,10274
0.00,10258
0.00,10386
0.00,10498
0.00,10930
0.00,11730
0.00,12723
0.00,14035
0.00,20356
0.00,20260
0.00,20228
0.00,20276
0.00,20308
0.00,20340
0.00,20388
0.00,20420
0.00,20452
0.00,20420
0.00,20436
0.00,20436
0.00,20436
0.00,20420
0.00,20517
0.00,20468
0.00,20436
0.00,20452
0.00,20436
0.00,20501
0.00,11298
0.00,10530
0.00,9794
0.00,9730
0.00,9698
0.00,9650
0.00,9666
0.00,9650
0.00,9602
0.00,9618
0.00,9618
0.00,9586
0.00,9506
0.00,9522
0.00,9522
0.00,9490
0.00,9490
0.00,9474
0.00,9490
0.00,9538
0.00,9474
0.00,9442
0.00,9442
0.00,9490
0.00,9490
0.00,9538
0.00,9554
0.00,9634
0.00,9650
0.00,9746
0.00,9874
0.00,10034
0.00,10210
0.00,10418
0.00,10642
0.00,10818
0.00,11010
0.00,11282
0.00,11586
0.00,12531
0.00,15651
0.00,15811
0.00,15811
0.00,15843
0.00,16051
0.00,16355
0.00,16804
0.00,16948
0.00,17188
0.00,17364
0.00,17636
0.00,17668
0.00,17940
0.00,17876
0.00,17844
0.00,17828
0.00,17844
0.00,17492
0.00,17796
0.00,17828
0.00,18068
0.00,18132
0.00,18148
0.00,18180
0.00,17844
0.00,18228
0.00,18068
0.00,17956
0.00,17988
0.00,17844
0.00,17828
0.00,17732
0.00,17684
0.00,17572
0.00,17428
0.00,16948
0.00,16916
0.00,16788
0.00,16660
0.00,16484
0.00,15331
0.00,15235
0.00,15091
0.00,14931
0.00,14883
0.00,14899
0.00,14915
0.00,14947
0.00,14867
0.00,14899
0.00,14867
0.00,14739
0.00,14755
0.00,14483
0.00,13955
0.00,12723
0.00,12323
0.00,11842
0.00,11458
0.00,11154
0.00,10882
0.00,10562
0.00,10354
0.00,10178
0.00,10050
0.00,9970
0.00,9906
0.00,9858
0.00,9810
0.00,9794
0.00,9762
0.00,9746
0.00,9682
0.00,9698
0.00,9698
0.00,9826
0.00,9762
0.00,9730
0.00,10018
0.00,10130
0.00,10306
0.00,10434
0.00,10578
0.00,10754
0.00,10946
0.00,11250
0.00,11538
0.00,11842
0.00,12210
0.00,12499
0.00,12755
0.00,12899
0.00,13123
0.00,13315
0.00,13395
0.00,13539
0.00,13667
0.00,13795
0.00,13843
0.00,13859
0.00,13859
0.00,13811
0.00,13827
0.00,13843
0.00,13795
0.00,13859
0.00,9922
0.00,13827
0.00,13827
0.00,13843
0.00,13827
0.00,13811
0.00,13811
0.00,13763
0.00,13763
0.00,13715
0.00,13715
0.00,13731
0.00,13715
0.00,13699
0.00,13651
0.00,13651
0.00,13635
0.00,13635
0.00,13635
0.00,13587
0.00,13571
0.00,13587
0.00,13587
0.00,13571
0.00,13539
0.00,13571
0.00,13555
0.00,13571
0.00,13587
0.00,13587
0.00,13523
0.00,13523
0.00,13539
0.00,13523
0.00,13523
0.00,13507
0.00,13475
0.00,13475
0.00,13475
0.00,13459
0.00,13427
0.00,13347
0.00,13331
0.00,13267
0.00,13251
0.00,13219
0.00,13187
0.00,13155
0.00,13123
0.00,13091
0.00,12595
0.00,12547
0.00,12499
0.00,12451
0.00,12387
0.00,12371
0.00,12323
0.00,12307
0.00,12162
0.00,12178
0.00,12130
0.00,12066
0.00,12034
0.00,11986
0.00,11938
0.00,11874
0.00,11826
0.00,11746
0.00,11682
0.00,11650
0.00,11586
0.00,11554
0.00,11490
0.00,11442
0.00,11410
0.00,11362
0.00,11298
0.00,11282
0.00,11218
0.00,11202
0.00,11186
0.00,11170
0.00,11138
0.00,11090
0.00,11058
0.00,11010
0.00,11010
0.00,10946
0.00,10946
0.00,10914
0.00,10914
0.00,10834
0.00,10802
0.00,10770
0.00,10722
0.00,10706
0.00,10642
0.00,10578
0.00,10546
